red	green	blue
89	70	56	255
109	91	75	255
76	70	65	255
48	29	25	255
106	77	57	255
120	91	71	255
28	25	21	255
89	73	64	255
45	29	15	255
73	50	34	255
91	68	50	255
32	29	24	255
77	55	49	255
43	34	24	255
87	67	55	255
102	68	46	255
43	29	20	255
42	25	13	255
70	46	32	255
134	94	70	255
105	68	42	255
105	85	72	255
121	91	72	255
115	94	73	255
127	92	62	255
39	28	20	255
72	55	44	255
77	59	45	255
88	67	56	255
85	58	42	255
71	51	37	255
99	72	56	255
40	33	30	255
68	54	49	255
98	70	54	255
71	54	45	255
99	75	64	255
66	48	40	255
97	72	61	255
89	64	51	255
83	52	34	255
80	58	37	255
100	72	57	255
64	52	37	255
95	73	51	255
84	66	57	255
94	75	58	255
114	97	80	255
91	62	45	255
61	48	35	255
115	86	67	255
75	48	26	255
108	75	50	255
108	92	80	255
128	97	72	255
77	51	39	255
92	72	57	255
124	95	84	255
55	45	45	255
46	26	18	255
46	33	17	255
43	33	22	255
50	37	25	255
101	74	55	255
73	56	43	255
37	28	21	255
101	77	62	255
72	51	34	255
110	82	59	255
115	91	76	255
26	15	6	255
86	68	55	255
124	99	80	255
88	71	58	255
103	72	49	255
59	52	46	255
87	56	35	255
71	50	35	255
117	89	70	255
135	99	76	255
110	85	67	255
115	77	54	255
37	25	18	255
107	78	57	255
97	71	59	255
127	98	72	255
119	99	75	255
29	18	10	255
39	34	30	255
52	37	28	255
116	94	85	255
121	81	56	255
94	72	61	255
100	71	55	255
65	49	40	255
80	58	48	255
103	80	65	255
67	52	43	255
54	42	26	255
94	74	56	255
119	86	66	255
96	70	55	255
103	83	73	255
59	44	40	255
54	38	35	255
95	72	62	255
125	96	84	255
89	75	63	255
86	62	50	255
73	52	33	255
76	52	44	255
111	83	58	255
90	73	57	255
121	94	71	255
62	48	46	255
104	73	48	255
104	90	78	255
45	34	22	255
75	71	66	255
119	94	76	255
112	83	59	255
70	56	43	255
134	96	70	255
102	81	65	255
65	43	35	255
77	61	45	255
90	64	43	255
100	75	56	255
112	87	80	255
99	77	63	255
68	56	49	255
106	87	74	255
114	95	84	255
116	98	87	255
113	91	77	255
111	75	52	255
98	72	54	255
122	89	65	255
82	56	40	255
58	45	40	255
38	29	21	255
38	32	28	255
127	98	83	255
119	82	56	255
81	54	38	255
119	85	63	255
113	94	85	255
49	32	24	255
133	99	77	255
105	81	66	255
78	58	48	255
89	74	61	255
76	55	46	255
89	58	44	255
92	74	57	255
98	66	48	255
46	35	17	255
38	21	15	255
81	62	55	255
45	34	33	255
73	58	43	255
88	73	57	255
86	73	62	255
110	87	66	255
84	62	51	255
112	83	70	255
68	55	46	255
101	82	70	255
115	96	84	255
71	55	42	255
109	86	67	255
117	94	77	255
99	76	61	255
124	87	58	255
114	77	52	255
51	34	18	255
82	55	38	255
81	58	40	255
32	22	21	255
52	39	28	255
118	91	72	255
51	37	26	255
78	54	38	255
103	82	65	255
67	54	43	255
80	63	55	255
67	57	50	255
125	98	83	255
71	44	28	255
